name,compound,areal_density,mu_E,sig_E
SS3,SS_316,100.476,49.371842266666675,0.9157381733080308
Kapton1,Kapton,3.6128,48.710831266666666,0.7660730058741545
Silicone1,Silicone,4.773000000000001,48.63690273333333,0.7674487224602451
Fe01,Fe,20.061,48.466306100000004,0.7757097789139892
Silicone2,Silicone,4.773000000000001,48.295396933333336,0.7716237803774122
Kapton2,Kapton,3.6128,48.22098053333333,0.7721554920401172
Kapton3,Kapton,3.6128,48.15943796666667,0.7729724023438346
Silicone3,Silicone,4.773000000000001,48.084819933333335,0.77436828377028
Zr06,Zr,16.177,47.950288433333334,0.7786981016240369
Silicone4,Silicone,4.773000000000001,47.81555260000001,0.7776769144702103
Kapton4,Kapton,3.6128,47.740523100000004,0.7782458341465054
Kapton5,Kapton,3.6128,47.678457900000005,0.7790610061227062
Silicone5,Silicone,4.773000000000001,47.6032628,0.78046701882238
Ti06,Ti,10.99,47.48631976666667,0.7834191116824244
Silicone6,Silicone,4.773000000000001,47.369174533333336,0.7835041101390484
Kapton6,Kapton,3.6128,47.29357926666667,0.784097923848458
C1,Al,261.48,45.26733434444444,1.5334145469262066
Kapton7,Kapton,3.6128,43.19750653333334,0.841966730908838
Silicone7,Silicone,4.773000000000001,43.11606603333334,0.8437173041010827
Fe02,Fe,20.161,42.9279775,0.8533806025608288
Silicone8,Silicone,4.773000000000001,42.73946513333334,0.8494532025079323
Kapton8,Kapton,3.6128,42.657317933333346,0.850332237727346
Kapton9,Kapton,3.6128,42.5893445,0.8514249939482338
Silicone9,Silicone,4.773000000000001,42.506945,0.8532260897958602
Zr07,Zr,16.009,42.360110266666666,0.8583326331758542
Silicone10,Silicone,4.773000000000001,42.21297320000001,0.8577471127407502
Kapton10,Kapton,3.6128,42.12999326666667,0.8586476250212669
Kapton11,Kapton,3.6128,42.06132616666667,0.8597706290722575
Silicone11,Silicone,4.773000000000001,41.97808943333334,0.8616062908322333
Ti08,Ti,11.16,41.847696466666676,0.8653320559574317
Silicone12,Silicone,4.773000000000001,41.7170373,0.8658278372413556
Kapton12,Kapton,3.6128,41.63325596666667,0.8667675047829909
E4,Al,68.29,41.03113736666667,0.9917436922228103
E5,Al,68.237,39.881827433333335,1.0139676841435394
Kapton13,Kapton,3.6128,39.26346980000001,0.9076482897142999
Silicone13,Silicone,4.773000000000001,39.17545763333334,0.9097884546631703
Fe03,Fe,20.187,38.97263036666667,0.9207682787602968
Silicone14,Silicone,4.773000000000001,38.7692518,0.9171264007013578
Kapton14,Kapton,3.6128,38.68037603333333,0.9183382201558057
Kapton15,Kapton,3.6128,38.606760466666664,0.9197516853787856
Silicone15,Silicone,4.773000000000001,38.51753463333334,0.9219947487018928
Zr08,Zr,16.246,38.35761116666667,0.9280927217374207
Silicone16,Silicone,4.773000000000001,38.197300733333336,0.9278533400414799
Kapton16,Kapton,3.6128,38.10733319999999,0.9291233632719399
Kapton17,Kapton,3.6128,38.03283246666667,0.930576453494956
Silicone17,Silicone,4.773000000000001,37.942520200000004,0.932873699521338
Ti09,Ti,11.234,37.800704366666665,0.9374214049904486
Silicone18,Silicone,4.773000000000001,37.65856133333334,0.9383953272678968
Kapton18,Kapton,3.6128,37.56757146666667,0.9397280831314183
E6,Al,68.215,36.91457965,1.05765907257768
E7,Al,68.185,35.663814675,1.0865807458512435
Kapton19,Kapton,3.6128,34.98818606666667,0.9937303478874583
Silicone19,Silicone,4.773000000000001,34.89154906666667,0.9965173798747627
Fe04,Fe,20.1,34.6703223,1.0093291043011574
Silicone20,Silicone,4.773000000000001,34.448323333333335,1.0063999248752402
Kapton20,Kapton,3.6128,34.350500833333335,1.008155559672864
Kapton21,Kapton,3.6128,34.2695056,1.0100774813029478
Silicone21,Silicone,4.773000000000001,34.17124713333334,1.0129751030134528
Zr09,Zr,16.225,33.99613203333334,1.0203511448682094
Silicone22,Silicone,4.773000000000001,33.820476166666666,1.020922194194366
Kapton22,Kapton,3.6128,33.721166700000005,1.0227970069753707
Kapton23,Kapton,3.6128,33.638909633333334,1.0248051947080148
Silicone23,Silicone,4.773000000000001,33.53915316666667,1.0278313072711098
Ti10,Ti,11.239,33.38288573333333,1.033577703195618
Silicone24,Silicone,4.773000000000001,33.22606626666666,1.0353973519421078
Kapton24,Kapton,3.6128,33.12533816666667,1.0373658325987538
E8,Al,68.155,32.40337548000001,1.1604607714760415
E9,Al,68.177,31.013369380000004,1.2011848915460166
Kapton25,Kapton,3.6128,30.258115466666663,1.113807723921615
Silicone25,Silicone,4.773000000000001,30.149422,1.1176374214905296
Fe05,Fe,20.108,29.90150556666667,1.1335926016882543
Silicone26,Silicone,4.773000000000001,29.6525054,1.1320144446829465
Kapton26,Kapton,3.6128,29.542026266666667,1.1348030429300917
Kapton27,Kapton,3.6128,29.4504948,1.1376423259705253
Silicone27,Silicone,4.773000000000001,29.339359100000003,1.1417701175136745
Zr10,Zr,16.237,29.142515900000003,1.1513983896030615
Silicone28,Silicone,4.773000000000001,28.944867000000002,1.1535455773300276
Kapton28,Kapton,3.6128,28.832225,1.1565086781811598
Kapton29,Kapton,3.6128,28.738858,1.1595639794779184
Silicone29,Silicone,4.773000000000001,28.625506833333336,1.163923368663063
Ti11,Ti,11.001,28.450801100000003,1.1715860822998838
Silicone30,Silicone,4.773000000000001,28.27531256666667,1.175176158696536
Kapton30,Kapton,3.6128,28.160503466666672,1.178374630803513
SS6,SS_316,100.992,27.122652828571432,1.3829720214866446
