Isotope,R,R_unc,Rel_R_unc_in_percent
86Yg,765231.7413559204,32796.69304939527,4.29e+00
87Ym1,1569826.5149153562,134054.49113290716,8.54e+00
87Yg,346410.5083945363,133255.62135327735,3.85e+01
88ZRg,267115.6545269222,17767.021582582718,6.65e+00
88Yg,942957.3555817929,62720.1865714249,6.65e+00
89NBg,19845674.603993516,3739726.546651069,1.88e+01
89ZRg,3574811.4410333293,3466298.507012501,9.70e+01
90NBg,13461229.324263811,674263.8841216615,5.01e+00
92NBm1,2217829.0979180136,69200.25027373742,3.12e+00
95ZRg,990900.2952056129,42083.09951498663,4.25e+00
95NBg,762347.0914859716,76764.83486979657,1.01e+01
95NBm1,349471.51323453477,65293.70925586014,1.87e+01
96NBg,169774.0625653264,9577.671217000689,5.64e+00
