#ZVView-data-copy:  31-Jul-2025 10:49:41
#=======================================
#
#name:   28-NI-0(D,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  54
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.3         0.62      0.00116      0.00012  # 1997,S.Takacs+           ## D4045009  #dY:10.3%  
          3.13         0.57      0.00724      0.00072  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          3.34         0.56       0.0116       0.0012  # 1997,S.Takacs+           ## D4045009  #dY:10.3%  
          4.03         0.51       0.0274       0.0027  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          4.21         0.51       0.0336       0.0033  # 1997,S.Takacs+           ## D4045009  #dY:9.8%   
          4.82         0.46       0.0493       0.0049  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          4.98         0.46       0.0535       0.0053  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          5.53         0.42       0.0655       0.0065  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          5.68         0.41       0.0653       0.0065  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          6.19         0.37       0.0733       0.0074  # 1997,S.Takacs+           ## D4045009  #dY:10.1%  
          6.33         0.37       0.0744       0.0074  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          6.81         0.34       0.0804        0.008  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          6.94         0.33       0.0763       0.0076  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          7.39          0.3       0.0787       0.0078  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          7.51          0.3       0.0764       0.0077  # 1997,S.Takacs+           ## D4045009  #dY:10.1%  
          7.94         0.27        0.075       0.0075  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          8.06         0.27       0.0726       0.0072  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          8.47         0.25       0.0679       0.0068  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          8.58         0.24       0.0688       0.0069  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          8.96         0.22       0.0674       0.0067  # 1997,S.Takacs+           ## D4045009  #dY:9.9%   
          9.08         0.22       0.0631       0.0063  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
          9.44          0.2       0.0621       0.0062  # 1997,S.Takacs+           ## D4045009  #dY:10.0%  
         10.57         1.04       0.0424       0.0048  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         11.01         0.95       0.0397       0.0045  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         11.44         0.44       0.0371       0.0042  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         11.85         0.78        0.036       0.0041  # 1997,S.Takacs+           ## D4045009  #dY:11.4%  
         12.26         0.71       0.0341       0.0039  # 1997,S.Takacs+           ## D4045009  #dY:11.4%  
         12.65         0.65       0.0318       0.0036  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         13.04         0.59       0.0301       0.0034  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         13.42         0.54       0.0285       0.0032  # 1997,S.Takacs+           ## D4045009  #dY:11.2%  
         13.79         0.49       0.0274       0.0031  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         14.15         0.86       0.0276       0.0031  # 1997,S.Takacs+           ## D4045009  #dY:11.2%  
         14.51          0.4       0.0267        0.003  # 1997,S.Takacs+           ## D4045009  #dY:11.2%  
         14.86         0.37       0.0265        0.003  # 1997,S.Takacs+           ## D4045009  #dY:11.3%  
         15.21         0.33       0.0253       0.0029  # 1997,S.Takacs+           ## D4045009  #dY:11.5%  
         15.55          0.3       0.0244       0.0028  # 1997,S.Takacs+           ## D4045009  #dY:11.5%  
         15.65         1.04       0.0253       0.0029  # 1997,S.Takacs+           ## D4045009  #dY:11.5%  
         15.88         0.28       0.0234       0.0027  # 1997,S.Takacs+           ## D4045009  #dY:11.5%  
          15.9         0.95       0.0234       0.0026  # 1997,S.Takacs+           ## D4045009  #dY:11.1%  
