foil, isotope, R, var_R 
Ni01, 56CO, 2178630.70850573, 79210311435.33737 
Ni02, 56CO, 1589526.4314257677, 1548741228.8044536 
Ni03, 56CO, 4187739.673726806, 5044577116.917987 
Ni04, 56CO, 5227990.789902172, 12101055495.107822 
Ni01, 58CO, 21001365.890232444, 14817584127321.658 
Ni02, 58CO, 29080097.417991795, 13161105513378.805 
Ni03, 58CO, 30422792.53133652, 6555911600802.212 
Ni04, 58CO, 5753405.927110307, 628585984044.5195 
Ni05, 58CO, 156869.77043945133, 2413771927.9463134 
Ni01, 61CU, 3322663.110879797, 4484895856.097353 
Ni02, 61CU, 3153947.533182302, 2630709790.332032 
Ni03, 61CU, 5283973.557169538, 7344749064.55421 
Ni04, 61CU, 10568311.530926704, 91213908533.95352 
Ni05, 61CU, 6962.308940038464, 3186611.4284501383 
