,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,47SC,159.381,1536.120954417008,64.45195274323937,0.6829999999999999,0.004,0.0054999923708365,0.0018970605656296,410169.6556137743,142922.75395584077,177.947789854132,62.00553316956216,1.3687890871859103,03/01/2017 15:02:43,2298.0,2305.0
1,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,46SC,889.277,918.7893360573364,37.964928369241726,0.99984,1e-05,0.0014110528944413,6.757092944635538e-05,653225.3797457936,46598.98929367067,283.3949586749647,20.216481255388576,1.2685937493866215,03/01/2017 15:02:43,2298.0,2305.0
3,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,48V,944.13,1539.4656308292008,49.49185043326383,0.0787,7.000000000000001e-05,0.0013468973174246,6.832636177119187e-05,14567387.828247013,950493.7919402876,6319.907951517143,412.3617318612961,1.457471946080548,03/01/2017 15:02:43,2298.0,2305.0
4,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,48V,983.525,18349.65755806245,270.01917290491167,0.9998,0.0004,0.001303822761576,6.840692281942276e-05,14119430.444155617,776430.1147883557,6125.566353212848,336.84603678453607,4.318500458609994,03/01/2017 15:02:43,2298.0,2305.0
5,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,46SC,1120.545,695.2807328651588,30.45666848167676,0.99987,1e-05,0.001174306560222,6.515564481404555e-05,593958.4632861466,47648.82311810855,257.6826304929053,20.671940615231478,1.0424896670830146,03/01/2017 15:02:43,2298.0,2305.0
6,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,47CA,1297.09,31.73417174906652,12.694212112071604,0.67,0.0335,0.0010448332843711,6.321240456219499e-05,45470.137911799146,20216.870152373187,19.726740959565788,8.770876421853878,1.8224689716978248,03/01/2017 15:02:43,2298.0,2305.0
7,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,48V,1312.106,13537.811588259528,1726.1601177888783,0.982,0.003,0.0010351653073285,6.509463736511377e-05,13358207.169433268,1903037.8698097689,5795.317644005756,825.6129587027195,1.8224689716978248,03/01/2017 15:02:43,2298.0,2305.0
8,../../2017_Feb_Zr/30MeV/CJ010317_Ti01_18cm_30MeV.Spe,48SC,1312.12,815.1831180856508,1727.9895302368614,1.001,0.0069999999999999,0.0010351563795459,6.509668233544997e-05,789107.2654979198,1673688.3097132512,342.3458852485552,726.112064951519,1.8224689716978248,03/01/2017 15:02:43,2298.0,2305.0
0,../../2017_Feb_Zr/30MeV/CK010317_Ti02_18cm_30MeV.Spe,46SC,889.277,368.960760406025,19.64005176234952,0.99984,1e-05,0.0014110528944413,6.757092944635538e-05,262988.4558107936,23281.505514682733,293.5139015745464,25.98382311906555,0.7581113635788806,03/01/2017 15:43:23,891.0,896.0
2,../../2017_Feb_Zr/30MeV/CK010317_Ti02_18cm_30MeV.Spe,48V,944.13,1044.707972733927,28.712221071677376,0.0787,7.000000000000001e-05,0.0013468973174246,6.832636177119187e-05,9910966.184890289,648902.7178231502,11061.346188493624,724.2217832847658,0.7122945566634956,03/01/2017 15:43:23,891.0,896.0
3,../../2017_Feb_Zr/30MeV/CK010317_Ti02_18cm_30MeV.Spe,48V,983.525,12476.820438167562,211.68764801793856,0.9998,0.0004,0.001303822761576,6.840692281942276e-05,9625039.924598437,537702.661433167,10742.23205870361,600.114577492374,3.9139105091519433,03/01/2017 15:43:23,891.0,896.0
4,../../2017_Feb_Zr/30MeV/CK010317_Ti02_18cm_30MeV.Spe,46SC,1120.545,302.821298538515,20.166940984120775,0.99987,1e-05,0.001174306560222,6.515564481404555e-05,259353.25201327208,26972.651526325702,289.4567544790983,30.10340572134565,0.8650504313010273,03/01/2017 15:43:23,891.0,896.0
