85Rb(a,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
25.0	0.1	0.1	7.40E-05	2.00E-06	7.23E-05	1.57E-03
25.1	2.0	1.0	1.53E-03	4.14E-05	1.50E-03	3.26E-02
25.2	3.9	2.0	4.40E-03	1.19E-04	4.30E-03	9.35E-02
25.3	5.8	3.0	8.70E-03	2.35E-04	8.50E-03	1.85E-01
25.4	7.7	4.0	1.45E-02	3.91E-04	1.41E-02	3.08E-01
25.5	9.8	5.0	2.18E-02	5.89E-04	2.13E-02	4.63E-01
25.6	11.9	6.1	3.07E-02	8.30E-04	3.00E-02	6.53E-01
25.7	14.1	7.3	4.13E-02	1.12E-03	4.04E-02	8.79E-01
25.8	16.4	8.5	5.37E-02	1.45E-03	5.25E-02	1.14E+00
25.9	18.8	9.7	6.80E-02	1.84E-03	6.64E-02	1.45E+00
26.0	21.4	2.6	8.43E-02	2.28E-03	8.23E-02	1.79E+00
26.1	24.2	3.0	1.03E-01	2.77E-03	1.00E-01	2.18E+00
26.2	27.1	3.3	1.23E-01	3.33E-03	1.21E-01	2.62E+00
26.3	30.1	3.7	1.46E-01	3.96E-03	1.43E-01	3.11E+00
26.4	33.4	4.1	1.72E-01	4.65E-03	1.68E-01	3.66E+00
26.5	36.8	4.5	2.00E-01	5.42E-03	1.96E-01	4.26E+00
26.6	40.3	5.0	2.32E-01	6.26E-03	2.26E-01	4.93E+00
26.7	44.1	5.4	2.66E-01	7.18E-03	2.60E-01	5.65E+00
26.8	48.0	5.9	3.03E-01	8.19E-03	2.96E-01	6.45E+00
26.9	52.1	6.4	3.44E-01	9.29E-03	3.36E-01	7.31E+00
27.0	56.3	5.9	3.88E-01	1.05E-02	3.79E-01	8.25E+00
27.1	60.8	6.4	4.36E-01	1.18E-02	4.26E-01	9.26E+00
27.2	65.4	6.9	4.87E-01	1.32E-02	4.76E-01	1.04E+01
27.3	70.3	7.4	5.43E-01	1.47E-02	5.30E-01	1.15E+01
27.4	75.3	7.9	6.02E-01	1.63E-02	5.88E-01	1.28E+01
27.5	80.6	8.5	6.66E-01	1.80E-02	6.51E-01	1.42E+01
27.6	86.0	9.0	7.35E-01	1.99E-02	7.18E-01	1.56E+01
27.7	91.7	9.6	8.08E-01	2.19E-02	7.90E-01	1.72E+01
27.8	97.6	10.2	8.87E-01	2.40E-02	8.66E-01	1.89E+01
27.9	103.7	10.9	9.70E-01	2.62E-02	9.48E-01	2.06E+01
28.0	110.0	9.5	1.06E+00	2.86E-02	1.03E+00	2.25E+01
28.1	116.6	10.0	1.15E+00	3.12E-02	1.13E+00	2.45E+01
28.2	123.4	10.6	1.25E+00	3.39E-02	1.22E+00	2.66E+01
28.3	130.4	11.2	1.36E+00	3.67E-02	1.33E+00	2.89E+01
28.4	137.6	11.8	1.47E+00	3.98E-02	1.44E+00	3.13E+01
28.5	145.0	12.5	1.59E+00	4.30E-02	1.55E+00	3.38E+01
28.6	152.7	13.1	1.71E+00	4.63E-02	1.67E+00	3.64E+01
28.7	160.5	13.8	1.85E+00	4.99E-02	1.80E+00	3.92E+01
28.8	168.6	14.5	1.98E+00	5.36E-02	1.94E+00	4.22E+01
28.9	176.8	15.2	2.13E+00	5.75E-02	2.08E+00	4.53E+01
29.0	185.3	16.4	2.28E+00	6.17E-02	2.23E+00	4.85E+01
29.1	193.9	17.2	2.44E+00	6.60E-02	2.38E+00	5.19E+01
29.2	202.7	18.0	2.61E+00	7.05E-02	2.55E+00	5.55E+01
29.3	211.7	18.8	2.78E+00	7.52E-02	2.72E+00	5.92E+01
29.4	220.8	19.6	2.96E+00	8.01E-02	2.90E+00	6.30E+01
29.5	230.0	20.4	3.15E+00	8.53E-02	3.08E+00	6.71E+01
29.6	239.4	21.2	3.35E+00	9.06E-02	3.28E+00	7.13E+01
29.7	248.9	22.1	3.56E+00	9.62E-02	3.48E+00	7.57E+01
29.8	258.5	22.9	3.77E+00	1.02E-01	3.69E+00	8.02E+01
29.9	268.2	23.8	3.99E+00	1.08E-01	3.90E+00	8.49E+01
30.0	277.9	23.5	4.22E+00	1.14E-01	4.13E+00	8.98E+01
30.1	287.7	24.3	4.46E+00	1.21E-01	4.36E+00	9.49E+01
30.2	297.6	25.1	4.71E+00	1.27E-01	4.60E+00	1.00E+02
30.3	307.5	26.0	4.96E+00	1.34E-01	4.85E+00	1.06E+02
30.4	317.4	26.8	5.23E+00	1.41E-01	5.11E+00	1.11E+02
30.5	327.3	27.7	5.50E+00	1.49E-01	5.37E+00	1.17E+02
30.6	337.2	28.5	5.78E+00	1.56E-01	5.65E+00	1.23E+02
30.7	347.2	29.3	6.07E+00	1.64E-01	5.93E+00	1.29E+02
30.8	357.1	30.2	6.37E+00	1.72E-01	6.22E+00	1.35E+02
30.9	366.9	31.0	6.68E+00	1.80E-01	6.52E+00	1.42E+02
31.0	376.7	27.4	6.99E+00	1.89E-01	6.83E+00	1.49E+02
31.1	386.4	28.2	7.32E+00	1.98E-01	7.15E+00	1.56E+02
31.2	396.1	28.9	7.65E+00	2.07E-01	7.47E+00	1.63E+02
31.3	405.7	29.6	8.00E+00	2.16E-01	7.81E+00	1.70E+02
31.4	415.3	30.3	8.35E+00	2.26E-01	8.16E+00	1.78E+02
31.5	424.7	30.9	8.71E+00	2.35E-01	8.51E+00	1.85E+02
31.6	434.1	31.6	9.08E+00	2.46E-01	8.87E+00	1.93E+02
31.7	443.4	32.3	9.47E+00	2.56E-01	9.25E+00	2.01E+02
31.8	452.6	33.0	9.86E+00	2.66E-01	9.63E+00	2.10E+02
31.9	461.8	33.6	1.03E+01	2.77E-01	1.00E+01	2.18E+02
32.0	470.8	30.1	1.07E+01	2.88E-01	1.04E+01	2.27E+02
32.1	479.7	30.7	1.11E+01	3.00E-01	1.08E+01	2.36E+02
32.2	488.6	31.2	1.15E+01	3.12E-01	1.13E+01	2.45E+02
32.3	497.3	31.8	1.20E+01	3.24E-01	1.17E+01	2.55E+02
32.4	506.0	32.3	1.24E+01	3.36E-01	1.21E+01	2.64E+02
32.5	514.6	32.9	1.29E+01	3.48E-01	1.26E+01	2.74E+02
32.6	523.1	33.4	1.34E+01	3.61E-01	1.31E+01	2.84E+02
32.7	531.5	34.0	1.39E+01	3.74E-01	1.35E+01	2.95E+02
32.8	539.9	34.5	1.44E+01	3.88E-01	1.40E+01	3.05E+02
32.9	548.2	35.0	1.49E+01	4.02E-01	1.45E+01	3.16E+02
33.0	556.5	32.8	1.54E+01	4.16E-01	1.50E+01	3.27E+02
33.1	564.6	33.3	1.59E+01	4.30E-01	1.55E+01	3.38E+02
33.2	572.8	33.8	1.64E+01	4.44E-01	1.61E+01	3.50E+02
33.3	580.8	34.3	1.70E+01	4.59E-01	1.66E+01	3.61E+02
33.4	588.9	34.7	1.75E+01	4.74E-01	1.71E+01	3.73E+02
33.5	596.9	35.2	1.81E+01	4.90E-01	1.77E+01	3.85E+02
33.6	604.9	35.7	1.87E+01	5.05E-01	1.83E+01	3.97E+02
33.7	612.8	36.1	1.93E+01	5.21E-01	1.88E+01	4.10E+02
33.8	620.7	36.6	1.99E+01	5.37E-01	1.94E+01	4.23E+02
33.9	628.6	37.1	2.05E+01	5.53E-01	2.00E+01	4.35E+02
34.0	636.5	36.4	2.11E+01	5.70E-01	2.06E+01	4.48E+02
34.1	644.4	36.8	2.17E+01	5.87E-01	2.12E+01	4.62E+02
34.2	652.3	37.3	2.23E+01	6.04E-01	2.18E+01	4.75E+02
34.3	660.2	37.7	2.30E+01	6.21E-01	2.24E+01	4.88E+02
34.4	668.2	38.2	2.36E+01	6.38E-01	2.31E+01	5.02E+02
34.5	676.1	38.6	2.43E+01	6.56E-01	2.37E+01	5.16E+02
34.6	684.0	39.1	2.49E+01	6.74E-01	2.43E+01	5.30E+02
34.7	691.9	39.6	2.56E+01	6.92E-01	2.50E+01	5.44E+02
34.8	699.9	40.0	2.63E+01	7.10E-01	2.57E+01	5.58E+02
34.9	707.9	40.5	2.69E+01	7.28E-01	2.63E+01	5.73E+02
35.0	715.9	41.4	2.76E+01	7.47E-01	2.70E+01	5.87E+02
35.1	723.9	41.8	2.83E+01	7.65E-01	2.77E+01	6.02E+02
35.2	732.0	42.3	2.90E+01	7.84E-01	2.83E+01	6.17E+02
35.3	740.1	42.8	2.97E+01	8.03E-01	2.90E+01	6.32E+02
35.4	748.2	43.2	3.04E+01	8.22E-01	2.97E+01	6.47E+02
35.5	756.4	43.7	3.11E+01	8.42E-01	3.04E+01	6.62E+02
35.6	764.5	44.2	3.19E+01	8.61E-01	3.11E+01	6.78E+02
35.7	772.7	44.7	3.26E+01	8.81E-01	3.18E+01	6.93E+02
35.8	781.0	45.1	3.33E+01	9.01E-01	3.26E+01	7.09E+02
35.9	789.2	45.6	3.41E+01	9.21E-01	3.33E+01	7.25E+02
36.0	797.5	46.9	3.48E+01	9.41E-01	3.40E+01	7.41E+02
36.1	805.8	47.4	3.56E+01	9.62E-01	3.48E+01	7.57E+02
36.2	814.1	47.9	3.64E+01	9.83E-01	3.55E+01	7.73E+02
36.3	822.4	48.3	3.71E+01	1.00E+00	3.63E+01	7.90E+02
36.4	830.7	48.8	3.79E+01	1.03E+00	3.70E+01	8.07E+02
36.5	839.1	49.3	3.87E+01	1.05E+00	3.78E+01	8.23E+02
36.6	847.4	49.8	3.95E+01	1.07E+00	3.86E+01	8.41E+02
36.7	855.7	50.3	4.03E+01	1.09E+00	3.94E+01	8.58E+02
36.8	864.0	50.8	4.12E+01	1.11E+00	4.02E+01	8.75E+02
36.9	872.3	51.3	4.20E+01	1.14E+00	4.10E+01	8.93E+02
37.0	880.6	51.4	4.28E+01	1.16E+00	4.18E+01	9.11E+02
37.1	888.8	51.9	4.37E+01	1.18E+00	4.27E+01	9.29E+02
