86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
6.9	0.1		6.13E-04	1.66E-05	5.99E-04	1.30E-02
7.0	25.2	4.4	1.57E-01	4.23E-03	1.53E-01	3.33E+00
7.1	52.3	9.1	4.84E-01	1.31E-02	4.73E-01	1.03E+01
7.2	81.6	14.1	1.00E+00	2.70E-02	9.76E-01	2.13E+01
7.3	112.6	19.5	1.72E+00	4.64E-02	1.68E+00	3.65E+01
7.4	145.0	25.1	2.65E+00	7.17E-02	2.59E+00	5.64E+01
7.5	178.3	30.9	3.81E+00	1.03E-01	3.72E+00	8.10E+01
7.6	212.2	36.7	5.20E+00	1.41E-01	5.08E+00	1.11E+02
7.7	246.2	42.6	6.83E+00	1.85E-01	6.67E+00	1.45E+02
7.8	280.0	48.5	8.70E+00	2.35E-01	8.50E+00	1.85E+02
7.9	313.2	54.2	1.08E+01	2.92E-01	1.06E+01	2.30E+02
8.0	345.3	20.1	1.32E+01	3.56E-01	1.29E+01	2.80E+02
8.1	376.1	21.9	1.57E+01	4.26E-01	1.54E+01	3.35E+02
8.2	405.5	23.6	1.86E+01	5.01E-01	1.81E+01	3.95E+02
8.3	433.5	25.3	2.16E+01	5.83E-01	2.11E+01	4.59E+02
8.4	460.0	26.8	2.48E+01	6.71E-01	2.42E+01	5.28E+02
8.5	485.0	28.3	2.83E+01	7.64E-01	2.76E+01	6.01E+02
8.6	508.7	29.6	3.19E+01	8.62E-01	3.12E+01	6.79E+02
8.7	530.8	30.9	3.57E+01	9.66E-01	3.49E+01	7.60E+02
8.8	551.5	32.1	3.98E+01	1.07E+00	3.88E+01	8.46E+02
8.9	570.7	33.3	4.39E+01	1.19E+00	4.29E+01	9.35E+02
9.0	588.3	28.4	4.83E+01	1.31E+00	4.72E+01	1.03E+03
9.1	604.6	29.2	5.28E+01	1.43E+00	5.16E+01	1.12E+03
9.2	619.3	29.9	5.75E+01	1.55E+00	5.61E+01	1.22E+03
9.3	632.8	30.5	6.23E+01	1.68E+00	6.08E+01	1.32E+03
9.4	645.0	31.1	6.72E+01	1.82E+00	6.56E+01	1.43E+03
9.5	656.1	31.7	7.22E+01	1.95E+00	7.06E+01	1.54E+03
9.6	666.0	32.1	7.74E+01	2.09E+00	7.56E+01	1.65E+03
9.7	675.0	32.6	8.27E+01	2.23E+00	8.08E+01	1.76E+03
9.8	683.1	33.0	8.80E+01	2.38E+00	8.60E+01	1.87E+03
9.9	690.3	33.3	9.35E+01	2.53E+00	9.14E+01	1.99E+03
10.0	696.8	30.2	9.91E+01	2.68E+00	9.68E+01	2.11E+03
10.1	702.6	30.4	1.05E+02	2.83E+00	1.02E+02	2.23E+03
10.2	707.8	30.6	1.10E+02	2.99E+00	1.08E+02	2.35E+03
10.3	712.5	30.8	1.16E+02	3.14E+00	1.14E+02	2.47E+03
10.4	716.7	31.0	1.22E+02	3.30E+00	1.19E+02	2.60E+03
10.5	720.4	31.2	1.28E+02	3.46E+00	1.25E+02	2.73E+03
10.6	723.7	31.3	1.34E+02	3.63E+00	1.31E+02	2.85E+03
10.7	726.7	31.4	1.40E+02	3.79E+00	1.37E+02	2.98E+03
10.8	729.4	31.6	1.46E+02	3.96E+00	1.43E+02	3.11E+03
10.9	731.8	31.7	1.53E+02	4.13E+00	1.49E+02	3.25E+03
11.0	734.1	30.1	1.59E+02	4.30E+00	1.55E+02	3.38E+03
11.1	736.2	30.2	1.65E+02	4.47E+00	1.62E+02	3.52E+03
11.2	738.2	30.3	1.72E+02	4.64E+00	1.68E+02	3.65E+03
11.3	740.1	30.4	1.78E+02	4.82E+00	1.74E+02	3.79E+03
11.4	741.9	30.4	1.85E+02	5.00E+00	1.81E+02	3.93E+03
11.5	743.6	30.5	1.91E+02	5.17E+00	1.87E+02	4.07E+03
11.6	745.3	30.6	1.98E+02	5.35E+00	1.94E+02	4.21E+03
11.7	746.9	30.6	2.05E+02	5.54E+00	2.00E+02	4.36E+03
11.8	748.5	30.7	2.12E+02	5.72E+00	2.07E+02	4.50E+03
11.9	750.1	30.8	2.18E+02	5.90E+00	2.13E+02	4.65E+03
12.0	751.7	31.5	2.25E+02	6.09E+00	2.20E+02	4.79E+03
12.1	753.4	31.5	2.32E+02	6.28E+00	2.27E+02	4.94E+03
12.2	755.0	31.6	2.39E+02	6.47E+00	2.34E+02	5.09E+03
12.3	756.7	31.7	2.46E+02	6.66E+00	2.41E+02	5.24E+03
12.4	758.3	31.7	2.53E+02	6.85E+00	2.48E+02	5.39E+03
12.5	760.0	31.8	2.61E+02	7.04E+00	2.55E+02	5.54E+03
12.6	761.6	31.9	2.68E+02	7.24E+00	2.62E+02	5.69E+03
12.7	763.2	31.9	2.75E+02	7.43E+00	2.69E+02	5.85E+03
12.8	764.8	32.0	2.82E+02	7.63E+00	2.76E+02	6.00E+03
12.9	766.4	32.1	2.90E+02	7.83E+00	2.83E+02	6.16E+03
13.0	768.0	32.3	2.97E+02	8.03E+00	2.90E+02	6.32E+03
13.1	769.5	32.4	3.05E+02	8.23E+00	2.98E+02	6.48E+03
13.2	770.9	32.5	3.12E+02	8.44E+00	3.05E+02	6.64E+03
13.3	772.2	32.5	3.20E+02	8.64E+00	3.12E+02	6.80E+03
13.4	773.5	32.6	3.27E+02	8.85E+00	3.20E+02	6.96E+03
13.5	774.6	32.6	3.35E+02	9.06E+00	3.27E+02	7.13E+03
13.6	775.5	32.7	3.43E+02	9.27E+00	3.35E+02	7.29E+03
13.7	776.2	32.7	3.51E+02	9.48E+00	3.43E+02	7.46E+03
13.8	776.7	32.7	3.59E+02	9.69E+00	3.50E+02	7.62E+03
13.9	777.0	32.7	3.66E+02	9.90E+00	3.58E+02	7.79E+03
14.0	776.9	32.9	3.74E+02	1.01E+01	3.66E+02	7.96E+03
14.1	776.6	32.9	3.82E+02	1.03E+01	3.73E+02	8.13E+03
14.2	775.9	32.8	3.90E+02	1.05E+01	3.81E+02	8.30E+03
14.3	774.9	32.8	3.98E+02	1.08E+01	3.89E+02	8.47E+03
14.4	773.5	32.7	4.06E+02	1.10E+01	3.97E+02	8.64E+03
14.5	771.6	32.6	4.14E+02	1.12E+01	4.05E+02	8.81E+03
14.6	769.2	32.5	4.23E+02	1.14E+01	4.13E+02	8.99E+03
14.7	766.4	32.4	4.31E+02	1.16E+01	4.21E+02	9.16E+03
14.8	763.0	32.3	4.39E+02	1.19E+01	4.29E+02	9.33E+03
14.9	759.0	32.1	4.47E+02	1.21E+01	4.37E+02	9.50E+03
15.0	754.4	32.0	4.55E+02	1.23E+01	4.44E+02	9.67E+03
15.1	749.2	31.7	4.63E+02	1.25E+01	4.52E+02	9.85E+03
15.2	743.3	31.5	4.71E+02	1.27E+01	4.60E+02	1.00E+04
15.3	736.8	31.2	4.79E+02	1.29E+01	4.68E+02	1.02E+04
15.4	729.7	30.9	4.87E+02	1.32E+01	4.76E+02	1.04E+04
15.5	721.9	30.6	4.95E+02	1.34E+01	4.84E+02	1.05E+04
15.6	713.5	30.2	5.03E+02	1.36E+01	4.91E+02	1.07E+04
15.7	704.5	29.9	5.11E+02	1.38E+01	4.99E+02	1.09E+04
15.8	694.9	29.5	5.18E+02	1.40E+01	5.06E+02	1.10E+04
15.9	684.7	29.0	5.26E+02	1.42E+01	5.14E+02	1.12E+04
16.0	673.9	28.6	5.34E+02	1.44E+01	5.21E+02	1.13E+04
16.1	662.5	28.2	5.41E+02	1.46E+01	5.29E+02	1.15E+04
16.2	650.5	27.7	5.49E+02	1.48E+01	5.36E+02	1.17E+04
16.3	638.1	27.1	5.56E+02	1.50E+01	5.43E+02	1.18E+04
16.4	625.2	26.6	5.63E+02	1.52E+01	5.50E+02	1.20E+04
16.5	612.0	26.0	5.70E+02	1.54E+01	5.57E+02	1.21E+04
16.6	598.4	25.4	5.77E+02	1.56E+01	5.64E+02	1.23E+04
16.7	584.6	24.9	5.84E+02	1.58E+01	5.70E+02	1.24E+04
16.8	570.5	24.3	5.90E+02	1.60E+01	5.77E+02	1.26E+04
16.9	556.3	23.6	5.97E+02	1.61E+01	5.83E+02	1.27E+04
17.0	542.0	23.7	6.03E+02	1.63E+01	5.89E+02	1.28E+04
17.1	527.6	23.1	6.10E+02	1.65E+01	5.95E+02	1.30E+04
17.2	513.2	22.4	6.16E+02	1.66E+01	6.01E+02	1.31E+04
17.3	498.8	21.8	6.22E+02	1.68E+01	6.07E+02	1.32E+04
17.4	484.5	21.2	6.27E+02	1.70E+01	6.13E+02	1.33E+04
17.5	470.4	20.6	6.33E+02	1.71E+01	6.18E+02	1.35E+04
17.6	456.3	19.9	6.39E+02	1.73E+01	6.24E+02	1.36E+04
17.7	442.5	19.3	6.44E+02	1.74E+01	6.29E+02	1.37E+04
17.8	428.8	18.7	6.49E+02	1.75E+01	6.34E+02	1.38E+04
17.9	415.5	18.2	6.54E+02	1.77E+01	6.39E+02	1.39E+04
18.0	402.4	17.9	6.59E+02	1.78E+01	6.44E+02	1.40E+04
18.1	389.7	17.3	6.64E+02	1.79E+01	6.49E+02	1.41E+04
18.2	377.3	16.7	6.69E+02	1.81E+01	6.53E+02	1.42E+04
18.3	365.3	16.2	6.73E+02	1.82E+01	6.58E+02	1.43E+04
18.4	353.6	15.7	6.78E+02	1.83E+01	6.62E+02	1.44E+04
18.5	342.3	15.2	6.82E+02	1.84E+01	6.66E+02	1.45E+04
18.6	331.3	14.7	6.86E+02	1.85E+01	6.70E+02	1.46E+04
18.7	320.7	14.2	6.90E+02	1.87E+01	6.74E+02	1.47E+04
18.8	310.5	13.8	6.94E+02	1.88E+01	6.78E+02	1.48E+04
18.9	300.6	13.3	6.98E+02	1.89E+01	6.82E+02	1.48E+04
19.0	291.1	12.8	7.02E+02	1.90E+01	6.86E+02	1.49E+04
19.1	282.0	12.4	7.05E+02	1.91E+01	6.89E+02	1.50E+04
