88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
27.2	0.1	0.01	1.67E-03	4.52E-05	1.64E-03	3.56E-02
27.3	6.7	0.4	1.14E-01	3.07E-03	1.11E-01	2.42E+00
27.4	13.3	0.9	3.37E-01	9.11E-03	3.29E-01	7.16E+00
27.5	19.9	1.3	6.72E-01	1.82E-02	6.57E-01	1.43E+01
27.6	26.5	1.7	1.12E+00	3.03E-02	1.09E+00	2.38E+01
27.7	33.2	2.1	1.68E+00	4.55E-02	1.65E+00	3.58E+01
27.8	40.0	2.6	2.36E+00	6.39E-02	2.31E+00	5.03E+01
27.9	46.9	3.0	3.16E+00	8.55E-02	3.09E+00	6.72E+01
28.0	53.8	3.5	4.08E+00	1.10E-01	3.99E+00	8.68E+01
28.1	60.8	3.5	5.12E+00	1.38E-01	5.00E+00	1.09E+02
28.2	68.0	3.9	6.29E+00	1.70E-01	6.14E+00	1.34E+02
28.3	75.2	4.4	7.58E+00	2.05E-01	7.41E+00	1.61E+02
28.4	82.5	4.8	9.01E+00	2.43E-01	8.80E+00	1.91E+02
28.5	89.9	5.2	1.06E+01	2.85E-01	1.03E+01	2.25E+02
28.6	97.3	5.6	1.22E+01	3.31E-01	1.20E+01	2.60E+02
28.7	104.7	6.1	1.41E+01	3.80E-01	1.37E+01	2.99E+02
28.8	112.2	6.5	1.60E+01	4.33E-01	1.57E+01	3.41E+02
28.9	119.7	6.9	1.81E+01	4.90E-01	1.77E+01	3.85E+02
29.0	127.1	7.4	2.03E+01	5.50E-01	1.99E+01	4.33E+02
29.1	134.6	8.3	2.27E+01	6.14E-01	2.22E+01	4.83E+02
29.2	142.1	8.7	2.52E+01	6.81E-01	2.46E+01	5.36E+02
29.3	149.5	9.2	2.78E+01	7.53E-01	2.72E+01	5.92E+02
29.4	156.9	9.6	3.06E+01	8.28E-01	2.99E+01	6.51E+02
29.5	164.2	10.1	3.35E+01	9.07E-01	3.28E+01	7.13E+02
29.6	171.6	10.5	3.66E+01	9.89E-01	3.58E+01	7.78E+02
29.7	178.8	11.0	3.98E+01	1.08E+00	3.89E+01	8.46E+02
29.8	186.0	11.4	4.31E+01	1.17E+00	4.21E+01	9.17E+02
29.9	193.2	11.9	4.66E+01	1.26E+00	4.55E+01	9.91E+02
30.0	200.3	12.3	5.02E+01	1.36E+00	4.90E+01	1.07E+03
30.1	207.3	13.6	5.39E+01	1.46E+00	5.27E+01	1.15E+03
30.2	214.2	14.0	5.78E+01	1.56E+00	5.65E+01	1.23E+03
30.3	221.0	14.5	6.18E+01	1.67E+00	6.04E+01	1.31E+03
30.4	227.8	14.9	6.60E+01	1.78E+00	6.45E+01	1.40E+03
30.5	234.5	15.3	7.03E+01	1.90E+00	6.86E+01	1.49E+03
30.6	241.1	15.8	7.47E+01	2.02E+00	7.29E+01	1.59E+03
30.7	247.5	16.2	7.92E+01	2.14E+00	7.74E+01	1.68E+03
30.8	253.9	16.6	8.39E+01	2.27E+00	8.19E+01	1.78E+03
30.9	260.2	17.0	8.87E+01	2.40E+00	8.66E+01	1.89E+03
31.0	266.3	17.4	9.36E+01	2.53E+00	9.15E+01	1.99E+03
31.1	272.4	17.0	9.87E+01	2.67E+00	9.64E+01	2.10E+03
31.2	278.3	17.4	1.04E+02	2.81E+00	1.01E+02	2.21E+03
31.3	284.1	17.8	1.09E+02	2.95E+00	1.07E+02	2.32E+03
31.4	289.8	18.1	1.15E+02	3.10E+00	1.12E+02	2.44E+03
31.5	295.4	18.5	1.20E+02	3.25E+00	1.17E+02	2.55E+03
31.6	300.9	18.8	1.26E+02	3.40E+00	1.23E+02	2.67E+03
31.7	306.2	19.1	1.32E+02	3.55E+00	1.28E+02	2.80E+03
31.8	311.4	19.5	1.37E+02	3.71E+00	1.34E+02	2.92E+03
31.9	316.5	19.8	1.43E+02	3.87E+00	1.40E+02	3.05E+03
32.0	321.4	20.1	1.49E+02	4.04E+00	1.46E+02	3.18E+03
32.1	326.3	17.6	1.56E+02	4.21E+00	1.52E+02	3.31E+03
32.2	331.0	17.9	1.62E+02	4.38E+00	1.58E+02	3.44E+03
32.3	335.6	18.1	1.68E+02	4.55E+00	1.64E+02	3.58E+03
32.4	340.1	18.3	1.75E+02	4.73E+00	1.71E+02	3.72E+03
32.5	344.4	18.6	1.82E+02	4.91E+00	1.77E+02	3.86E+03
32.6	348.7	18.8	1.88E+02	5.09E+00	1.84E+02	4.00E+03
32.7	352.8	19.0	1.95E+02	5.27E+00	1.90E+02	4.15E+03
32.8	356.8	19.2	2.02E+02	5.46E+00	1.97E+02	4.29E+03
32.9	360.7	19.5	2.09E+02	5.65E+00	2.04E+02	4.44E+03
33.0	364.5	19.7	2.16E+02	5.84E+00	2.11E+02	4.59E+03
33.1	368.2	16.6	2.23E+02	6.03E+00	2.18E+02	4.74E+03
33.2	371.7	16.8	2.30E+02	6.23E+00	2.25E+02	4.90E+03
33.3	375.2	16.9	2.38E+02	6.42E+00	2.32E+02	5.05E+03
33.4	378.6	17.1	2.45E+02	6.62E+00	2.39E+02	5.21E+03
33.5	381.8	17.2	2.53E+02	6.83E+00	2.47E+02	5.37E+03
33.6	385.0	17.4	2.60E+02	7.03E+00	2.54E+02	5.53E+03
33.7	388.1	17.5	2.68E+02	7.24E+00	2.62E+02	5.70E+03
33.8	391.0	17.6	2.76E+02	7.45E+00	2.69E+02	5.86E+03
33.9	393.9	17.8	2.83E+02	7.66E+00	2.77E+02	6.03E+03
34.0	396.7	17.9	2.91E+02	7.87E+00	2.85E+02	6.19E+03
34.1	399.4	16.2	2.99E+02	8.09E+00	2.92E+02	6.36E+03
34.2	402.1	16.3	3.07E+02	8.30E+00	3.00E+02	6.53E+03
34.3	404.6	16.4	3.15E+02	8.52E+00	3.08E+02	6.71E+03
34.4	407.1	16.5	3.23E+02	8.74E+00	3.16E+02	6.88E+03
34.5	409.5	16.6	3.32E+02	8.96E+00	3.24E+02	7.05E+03
34.6	411.8	16.7	3.40E+02	9.19E+00	3.32E+02	7.23E+03
34.7	414.1	16.8	3.48E+02	9.41E+00	3.40E+02	7.41E+03
34.8	416.3	16.9	3.57E+02	9.64E+00	3.49E+02	7.59E+03
34.9	418.4	16.9	3.65E+02	9.87E+00	3.57E+02	7.77E+03
35.0	420.5	17.0	3.74E+02	1.01E+01	3.65E+02	7.95E+03
35.1	422.5	17.0	3.82E+02	1.03E+01	3.74E+02	8.13E+03
35.2	424.5	17.1	3.91E+02	1.06E+01	3.82E+02	8.32E+03
35.3	426.4	17.2	4.00E+02	1.08E+01	3.91E+02	8.50E+03
35.4	428.2	17.2	4.09E+02	1.10E+01	3.99E+02	8.69E+03
35.5	430.0	17.3	4.17E+02	1.13E+01	4.08E+02	8.88E+03
35.6	431.8	17.4	4.26E+02	1.15E+01	4.16E+02	9.07E+03
35.7	433.5	17.5	4.35E+02	1.18E+01	4.25E+02	9.26E+03
35.8	435.1	17.5	4.44E+02	1.20E+01	4.34E+02	9.45E+03
35.9	436.8	17.6	4.53E+02	1.23E+01	4.43E+02	9.64E+03
36.0	438.3	17.6	4.62E+02	1.25E+01	4.52E+02	9.83E+03
36.1	439.8	18.1	4.72E+02	1.27E+01	4.61E+02	1.00E+04
36.2	441.3	18.1	4.81E+02	1.30E+01	4.70E+02	1.02E+04
36.3	442.8	18.2	4.90E+02	1.32E+01	4.79E+02	1.04E+04
36.4	444.2	18.3	4.99E+02	1.35E+01	4.88E+02	1.06E+04
36.5	445.6	18.3	5.09E+02	1.37E+01	4.97E+02	1.08E+04
36.6	446.9	18.4	5.18E+02	1.40E+01	5.06E+02	1.10E+04
36.7	448.2	18.4	5.28E+02	1.43E+01	5.15E+02	1.12E+04
36.8	449.5	18.5	5.37E+02	1.45E+01	5.25E+02	1.14E+04
36.9	450.7	18.5	5.47E+02	1.48E+01	5.34E+02	1.16E+04
37.0	451.9	18.6	5.56E+02	1.50E+01	5.43E+02	1.18E+04
37.1	453.1	18.5	5.66E+02	1.53E+01	5.53E+02	1.20E+04
37.2	454.3	18.6	5.75E+02	1.56E+01	5.62E+02	1.22E+04
37.3	455.4	18.6	5.85E+02	1.58E+01	5.72E+02	1.24E+04
37.4	456.4	18.7	5.95E+02	1.61E+01	5.81E+02	1.27E+04
37.5	457.5	18.7	6.05E+02	1.63E+01	5.91E+02	1.29E+04
37.6	458.5	18.7	6.15E+02	1.66E+01	6.00E+02	1.31E+04
37.7	459.5	18.8	6.24E+02	1.69E+01	6.10E+02	1.33E+04
37.8	460.4	18.8	6.34E+02	1.71E+01	6.20E+02	1.35E+04
37.9	461.3	18.9	6.44E+02	1.74E+01	6.29E+02	1.37E+04
38.0	462.2	18.9	6.54E+02	1.77E+01	6.39E+02	1.39E+04
38.1	463.0	18.6	6.64E+02	1.80E+01	6.49E+02	1.41E+04
38.2	463.8	18.6	6.74E+02	1.82E+01	6.59E+02	1.43E+04
38.3	464.5	18.6	6.84E+02	1.85E+01	6.68E+02	1.46E+04
38.4	465.2	18.7	6.94E+02	1.88E+01	6.78E+02	1.48E+04
38.5	465.9	18.7	7.05E+02	1.90E+01	6.88E+02	1.50E+04
38.6	466.5	18.7	7.15E+02	1.93E+01	6.98E+02	1.52E+04
38.7	467.0	18.7	7.25E+02	1.96E+01	7.08E+02	1.54E+04
38.8	467.5	18.8	7.35E+02	1.99E+01	7.18E+02	1.56E+04
38.9	468.0	18.8	7.45E+02	2.01E+01	7.28E+02	1.59E+04
39.0	468.4	18.8	7.56E+02	2.04E+01	7.38E+02	1.61E+04
39.1	468.7	18.8	7.66E+02	2.07E+01	7.48E+02	1.63E+04
39.2	469.0	18.8	7.76E+02	2.10E+01	7.58E+02	1.65E+04
39.3	469.2	18.8	7.87E+02	2.13E+01	7.69E+02	1.67E+04
