# Reaction    (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)       (x,Ad)       (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)                   
 1.000000e+00 2.941676e-03 1.059785e-03 2.949796e-05 5.598379e-14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 1.655878e+02 9.819143e+01 1.356880e+01 2.297676e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.104558e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.504619e-11 6.488192e-09 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 3.629035e+02 3.042619e+02 4.826083e+01 3.267920e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.276493e+02 1.425196e-16 0.000000e+00 0.000000e+00 0.000000e+00 6.806737e-03 6.793695e-03 0.000000e+00 4.904960e-13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.638061e+02 2.931209e+02 5.897843e+01 8.270465e+00 0.000000e+00 0.000000e+00 9.764421e+01 5.427284e+02 1.650050e-04 0.000000e+00 0.000000e+00 0.000000e+00 7.777482e-01 1.577936e+00 0.000000e+00 1.061304e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 2.024324e+02 2.510683e+02 5.019594e+01 1.276832e+01 0.000000e+00 0.000000e+00 2.189455e+02 6.689756e+02 7.612772e-01 4.143590e-04 0.000000e+00 0.000000e+00 5.570890e+00 1.218766e+01 0.000000e+00 8.492874e-04 1.094431e-28 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.782748e+02 2.368078e+02 3.428054e+01 1.673242e+01 0.000000e+00 0.000000e+00 2.677783e+02 7.203690e+02 1.716346e+01 9.211565e-01 0.000000e+00 0.000000e+00 1.488749e+01 2.006955e+01 5.050347e-06 2.234585e-02 1.127985e-09 0.000000e+00 8.952869e-02 0.000000e+00 5.193477e-22 0.000000e+00 0.000000e+00 0.000000e+00
 1.600000e+01 1.674458e+02 2.314002e+02 2.294215e+01 1.641189e+01 0.000000e+00 0.000000e+00 2.668623e+02 7.331883e+02 5.259709e+01 6.787880e+00 0.000000e+00 0.000000e+00 2.421997e+01 2.132773e+01 3.225992e-02 1.987416e-01 2.588621e-05 0.000000e+00 1.176509e+01 5.562497e-19 4.084410e-07 3.995472e-05 0.000000e+00 0.000000e+00
 1.850000e+01 1.593401e+02 2.262133e+02 1.637840e+01 1.394019e+01 0.000000e+00 0.000000e+00 2.222887e+02 7.053764e+02 8.314804e+01 1.625834e+01 0.000000e+00 0.000000e+00 3.125614e+01 2.454783e+01 3.913934e-01 8.689306e-01 5.398580e-03 0.000000e+00 8.247472e+01 1.279555e-06 1.351095e-02 1.144919e-01 0.000000e+00 0.000000e+00
 2.100000e+01 1.529058e+02 2.209987e+02 1.246486e+01 1.156708e+01 0.000000e+00 0.000000e+00 1.647782e+02 6.318059e+02 9.994080e+01 2.607698e+01 0.000000e+00 0.000000e+00 3.618786e+01 2.876233e+01 1.630211e+00 2.049931e+00 8.762928e-02 8.938534e-04 2.045345e+02 1.357014e-02 1.447727e+00 2.096525e+00 0.000000e+00 0.000000e+00
 2.350000e+01 1.455814e+02 2.118941e+02 9.646330e+00 9.763610e+00 0.000000e+00 0.000000e+00 1.230333e+02 5.564879e+02 9.884693e+01 3.345431e+01 0.000000e+00 0.000000e+00 3.754079e+01 3.185251e+01 3.770118e+00 3.332190e+00 4.278178e-01 4.400287e-01 3.170567e+02 9.454344e-01 1.119197e+01 9.807898e+00 0.000000e+00 0.000000e+00
 2.600000e+01 1.385534e+02 2.023552e+02 7.756025e+00 8.325230e+00 0.000000e+00 0.000000e+00 9.773468e+01 5.003159e+02 8.403226e+01 3.832963e+01 0.000000e+00 0.000000e+00 3.625494e+01 3.206912e+01 6.154891e+00 4.329155e+00 1.103201e+00 3.767477e+00 3.875166e+02 6.360245e+00 2.849561e+01 2.401695e+01 0.000000e+00 0.000000e+00
 2.850000e+01 1.316272e+02 1.929585e+02 6.301233e+00 7.162659e+00 0.000000e+00 0.000000e+00 8.341403e+01 4.623806e+02 6.589076e+01 3.950619e+01 0.000000e+00 0.000000e+00 3.426236e+01 2.962366e+01 8.125028e+00 4.722010e+00 1.923813e+00 9.055932e+00 4.214897e+02 1.657684e+01 4.624791e+01 4.076817e+01 0.000000e+00 0.000000e+00
