# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 4.289638e-03 2.945196e-14 4.289638e-03 1.415813e-10 4.289616e-03 0.000000e+00
 3.500000e+00 2.863450e+02 1.057125e-01 2.863450e+02 1.993944e-02 2.820912e+02 0.000000e+00
 6.000000e+00 9.711064e+02 2.173202e-01 9.711064e+02 6.533358e-02 7.686495e+02 0.000000e+00
 8.500000e+00 1.301891e+03 8.957469e-02 1.301891e+03 6.524608e-02 5.263400e+02 0.000000e+00
 1.100000e+01 1.463258e+03 2.953806e-02 1.463258e+03 4.008965e-02 3.262514e+02 0.000000e+00
 1.350000e+01 1.550601e+03 9.454551e-03 1.550601e+03 1.146956e-02 2.434054e+02 0.000000e+00
 1.600000e+01 1.600275e+03 3.077062e-03 1.600275e+03 1.861593e-03 2.096076e+02 0.000000e+00
 1.850000e+01 1.629010e+03 1.034889e-03 1.629010e+03 3.358717e-04 1.905272e+02 0.000000e+00
 2.100000e+01 1.645482e+03 3.624276e-04 1.645482e+03 7.516716e-05 1.751858e+02 0.000000e+00
 2.350000e+01 1.654437e+03 1.308137e-04 1.654437e+03 2.238261e-05 1.638571e+02 0.000000e+00
 2.600000e+01 1.657502e+03 4.880138e-05 1.657502e+03 9.077106e-06 1.537380e+02 0.000000e+00
 2.850000e+01 1.656872e+03 1.882221e-05 1.656872e+03 4.332459e-06 1.443024e+02 0.000000e+00
 3.100000e+01 1.654222e+03 7.490909e-06 1.654222e+03 1.901766e-06 1.354827e+02 0.000000e+00
 3.350000e+01 1.649893e+03 3.064998e-06 1.649893e+03 6.727519e-07 1.273158e+02 0.000000e+00
 3.600000e+01 1.644119e+03 1.285128e-06 1.644119e+03 2.073404e-07 1.198063e+02 0.000000e+00
 3.850000e+01 1.637413e+03 5.520750e-07 1.637413e+03 6.363305e-08 1.129422e+02 0.000000e+00
 4.100000e+01 1.630107e+03 2.431272e-07 1.630107e+03 2.076000e-08 1.066495e+02 0.000000e+00
 4.350000e+01 1.622308e+03 1.093141e-07 1.622308e+03 7.348154e-09 1.008635e+02 0.000000e+00
 4.600000e+01 1.614115e+03 5.039759e-08 1.614115e+03 2.829362e-09 9.507146e+01 0.000000e+00
 4.850000e+01 1.605631e+03 2.363660e-08 1.605631e+03 1.160344e-09 9.005538e+01 0.000000e+00
 5.100000e+01 1.596959e+03 1.100252e-08 1.596959e+03 4.987848e-10 8.957054e+01 0.000000e+00
 5.350000e+01 1.588153e+03 5.502794e-09 1.588153e+03 2.009452e-10 7.925139e+01 0.000000e+00
