# Reaction    (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)       (x,Ad)       (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)                   
 1.000000e+00 1.137718e-04 3.715841e-05 1.718226e-08 2.259539e-16 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 9.953001e+01 3.775040e+01 2.873081e+00 7.643130e-02 0.000000e+00 0.000000e+00 0.000000e+00 2.890739e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 4.327486e+02 2.266865e+02 3.448276e+01 1.402827e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.304133e+02 2.446589e-08 0.000000e+00 0.000000e+00 0.000000e+00 1.015973e-26 3.965355e-09 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 3.453518e+02 2.625812e+02 6.799831e+01 5.905603e+00 0.000000e+00 0.000000e+00 1.469226e+01 5.323172e+02 1.992846e-02 0.000000e+00 0.000000e+00 0.000000e+00 4.067465e-06 1.425646e-03 0.000000e+00 6.391943e-17 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 2.308516e+02 2.269621e+02 8.092522e+01 1.332255e+01 0.000000e+00 0.000000e+00 2.171085e+02 6.593677e+02 5.898036e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.648380e-02 2.760634e-01 0.000000e+00 7.560622e-10 1.768966e-16 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.797601e+02 2.139299e+02 5.484174e+01 1.985297e+01 0.000000e+00 0.000000e+00 2.999231e+02 7.326129e+02 4.587212e+01 7.542401e-04 0.000000e+00 0.000000e+00 1.401847e+00 1.488307e+00 9.452185e-06 9.681056e-06 1.063828e-06 0.000000e+00 0.000000e+00 0.000000e+00 2.422143e-14 1.122111e-26 0.000000e+00 0.000000e+00
 1.600000e+01 1.606792e+02 2.118895e+02 2.865758e+01 2.493011e+01 0.000000e+00 0.000000e+00 2.989693e+02 7.882542e+02 9.181715e+01 1.545538e+00 0.000000e+00 0.000000e+00 6.494145e+00 4.882601e+00 8.021316e-02 4.445147e-03 4.084779e-04 0.000000e+00 1.633653e-01 0.000000e+00 5.908042e-06 5.021793e-05 0.000000e+00 0.000000e+00
 1.850000e+01 1.507282e+02 2.094781e+02 1.614764e+01 2.325852e+01 0.000000e+00 0.000000e+00 2.744627e+02 8.050346e+02 1.237886e+02 1.026860e+01 0.000000e+00 0.000000e+00 1.283629e+01 1.183327e+01 7.897843e-01 1.609308e-01 8.309200e-03 1.537444e-03 2.173721e+01 2.069529e-10 1.244162e-02 2.760867e-01 0.000000e+00 0.000000e+00
 2.100000e+01 1.450577e+02 2.064960e+02 1.071255e+01 1.903680e+01 0.000000e+00 0.000000e+00 2.166821e+02 7.606559e+02 1.335886e+02 2.283450e+01 0.000000e+00 0.000000e+00 1.760798e+01 1.971988e+01 1.965724e+00 1.119071e+00 6.889545e-02 5.880984e+00 1.193133e+02 1.010485e-04 8.447990e-01 5.837980e+00 0.000000e+00 0.000000e+00
 2.350000e+01 1.381831e+02 1.996697e+02 7.916058e+00 1.568207e+01 0.000000e+00 0.000000e+00 1.606258e+02 6.694495e+02 1.246770e+02 3.308195e+01 0.000000e+00 0.000000e+00 1.889979e+01 2.529323e+01 4.178695e+00 3.084611e+00 3.398131e-01 1.681559e+01 2.581592e+02 8.980767e-02 7.844076e+00 1.919035e+01 0.000000e+00 0.000000e+00
