# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.587904e-04 7.096585e-17 1.587904e-04 3.286840e-11 1.492420e-04 0.000000e+00
 3.500000e+00 1.502673e+02 2.184577e-02 1.445068e+02 2.604623e-02 1.177782e+02 0.000000e+00
 6.000000e+00 1.149075e+03 1.092248e-01 8.383594e+02 1.208303e-01 4.009867e+02 0.000000e+00
 8.500000e+00 2.001537e+03 4.266310e-02 1.243392e+03 1.133559e-01 2.867755e+02 0.000000e+00
 1.100000e+01 2.424745e+03 1.229854e-02 1.450221e+03 5.845399e-02 2.134774e+02 0.000000e+00
 1.350000e+01 2.637049e+03 3.407958e-03 1.565602e+03 1.448705e-02 1.908853e+02 0.000000e+00
 1.600000e+01 2.767593e+03 9.668511e-04 1.634627e+03 2.458341e-03 1.800296e+02 0.000000e+00
 1.850000e+01 2.854673e+03 2.848755e-04 1.677253e+03 4.226806e-04 1.729261e+02 0.000000e+00
 2.100000e+01 2.913407e+03 8.818674e-05 1.703866e+03 9.929809e-05 1.639853e+02 0.000000e+00
 2.350000e+01 2.953067e+03 2.817122e-05 1.719574e+03 3.246589e-05 1.565742e+02 0.000000e+00
 2.600000e+01 2.981083e+03 9.257649e-06 1.728554e+03 1.357269e-05 1.486719e+02 0.000000e+00
 2.850000e+01 3.001979e+03 3.189050e-06 1.733277e+03 5.716635e-06 1.408650e+02 0.000000e+00
 3.100000e+01 3.016462e+03 1.125581e-06 1.734427e+03 2.019688e-06 1.379118e+02 0.000000e+00
 3.350000e+01 3.024848e+03 4.132187e-07 1.732962e+03 6.156752e-07 1.306543e+02 0.000000e+00
 3.600000e+01 3.028007e+03 1.563969e-07 1.729883e+03 1.763967e-07 1.238432e+02 0.000000e+00
 3.850000e+01 3.026387e+03 6.085669e-08 1.725546e+03 5.184120e-08 1.174439e+02 0.000000e+00
 4.100000e+01 3.020425e+03 2.431444e-08 1.720120e+03 1.657963e-08 1.114418e+02 0.000000e+00
 4.350000e+01 3.011079e+03 9.971829e-09 1.713883e+03 5.834486e-09 1.058340e+02 0.000000e+00
 4.600000e+01 2.999526e+03 4.264572e-09 1.707068e+03 2.243790e-09 1.001375e+02 0.000000e+00
 4.850000e+01 2.986798e+03 1.838201e-09 1.699817e+03 8.684936e-10 9.531025e+01 0.000000e+00
 5.100000e+01 2.973686e+03 8.068164e-10 1.692200e+03 3.436352e-10 9.209691e+01 0.000000e+00
 5.350000e+01 2.960831e+03 3.619194e-10 1.684290e+03 1.279221e-10 8.827077e+01 0.000000e+00
