# Reaction    (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)       (x,Ad)       (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)                   
 1.000000e+00 1.362748e-06 2.388470e-05 3.515330e-08 1.037689e-17 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 5.141133e+01 3.152546e+01 4.027509e+00 3.343756e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.237141e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.012828e-20 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 3.163265e+02 2.495026e+02 6.128815e+01 1.140337e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.095733e+02 1.947426e-05 0.000000e+00 0.000000e+00 0.000000e+00 9.605310e-13 1.108107e-06 0.000000e+00 5.364157e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.700477e+02 2.964314e+02 1.047360e+02 5.680225e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.048487e+02 3.884507e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.199474e-03 3.153014e-02 0.000000e+00 2.215814e-10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 1.805993e+02 2.460053e+02 1.026902e+02 1.092406e+01 0.000000e+00 0.000000e+00 2.227647e+01 8.332395e+02 1.825532e+01 0.000000e+00 0.000000e+00 0.000000e+00 4.147856e-01 1.525086e+00 1.069846e-19 4.177826e-06 5.181357e-11 0.000000e+00 0.000000e+00 0.000000e+00 4.099314e-27 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.448734e+02 2.249134e+02 5.824332e+01 1.723474e+01 0.000000e+00 0.000000e+00 1.334376e+02 8.811488e+02 7.634542e+01 4.749084e-05 0.000000e+00 0.000000e+00 6.316029e+00 6.168265e+00 5.745187e-04 1.996760e-03 1.231466e-04 0.000000e+00 0.000000e+00 0.000000e+00 1.092458e-09 2.017928e-15 0.000000e+00 0.000000e+00
 1.600000e+01 1.371785e+02 2.214634e+02 2.779810e+01 2.343400e+01 0.000000e+00 0.000000e+00 1.958278e+02 8.487846e+02 1.363412e+02 7.376070e-01 0.000000e+00 0.000000e+00 2.259550e+01 1.462309e+01 4.535465e-01 1.033389e-01 2.336731e-02 0.000000e+00 4.079082e-02 0.000000e+00 5.947881e-04 3.226598e-03 0.000000e+00 0.000000e+00
 1.850000e+01 1.314656e+02 2.190472e+02 1.505333e+01 2.312207e+01 0.000000e+00 0.000000e+00 2.032636e+02 8.256344e+02 1.669276e+02 7.534274e+00 0.000000e+00 0.000000e+00 3.800065e+01 2.503614e+01 2.048572e+00 1.034517e+00 1.197796e-01 0.000000e+00 1.920109e+01 7.074204e-06 2.263200e-01 2.500769e+00 0.000000e+00 0.000000e+00
 2.100000e+01 1.282313e+02 2.200989e+02 9.911025e+00 1.995875e+01 0.000000e+00 0.000000e+00 1.556725e+02 7.695664e+02 1.643783e+02 1.803216e+01 0.000000e+00 0.000000e+00 4.547565e+01 3.236885e+01 3.641820e+00 3.421498e+00 3.212795e-01 1.762351e-02 1.137844e+02 1.051935e-02 4.556061e+00 2.332940e+01 0.000000e+00 0.000000e+00
 2.350000e+01 1.227413e+02 2.137392e+02 7.542488e+00 1.677744e+01 0.000000e+00 0.000000e+00 1.105489e+02 6.733408e+02 1.384307e+02 2.625931e+01 0.000000e+00 0.000000e+00 4.439165e+01 3.461491e+01 6.305242e+00 6.322391e+00 9.570353e-01 9.102506e-01 2.537939e+02 9.303659e-01 2.239214e+01 5.327826e+01 0.000000e+00 0.000000e+00
