# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 2.895351e-05 2.279077e-18 2.895351e-05 7.340647e-12 2.322240e-05 0.000000e+00
 3.500000e+00 9.768424e+01 1.016722e-02 9.528937e+01 1.711189e-02 7.292789e+01 0.000000e+00
 6.000000e+00 1.013186e+03 1.224224e-01 7.653303e+02 1.016549e-01 3.893336e+02 0.000000e+00
 8.500000e+00 1.920865e+03 5.343173e-02 1.208893e+03 9.361729e-02 2.823044e+02 0.000000e+00
 1.100000e+01 2.404165e+03 1.466156e-02 1.441068e+03 5.499509e-02 1.985768e+02 0.000000e+00
 1.350000e+01 2.647273e+03 3.804025e-03 1.572509e+03 2.043297e-02 1.765026e+02 0.000000e+00
 1.600000e+01 2.795747e+03 1.013627e-03 1.652167e+03 4.494502e-03 1.692961e+02 0.000000e+00
 1.850000e+01 2.895883e+03 2.822723e-04 1.702131e+03 7.665224e-04 1.646894e+02 0.000000e+00
 2.100000e+01 2.963760e+03 8.271420e-05 1.733997e+03 1.550356e-04 1.579108e+02 0.000000e+00
 2.350000e+01 3.009608e+03 2.487328e-05 1.754074e+03 4.326345e-05 1.515466e+02 0.000000e+00
 2.600000e+01 3.042511e+03 7.819490e-06 1.766869e+03 1.658276e-05 1.496171e+02 0.000000e+00
 2.850000e+01 3.066985e+03 2.573131e-06 1.774170e+03 7.415384e-06 1.421270e+02 0.000000e+00
 3.100000e+01 3.084744e+03 8.771672e-07 1.777280e+03 3.080549e-06 1.348994e+02 0.000000e+00
 3.350000e+01 3.097194e+03 3.093959e-07 1.777735e+03 1.059997e-06 1.279855e+02 0.000000e+00
 3.600000e+01 3.104762e+03 1.125754e-07 1.776263e+03 3.112507e-07 1.213740e+02 0.000000e+00
 3.850000e+01 3.107290e+03 4.262227e-08 1.773123e+03 8.867852e-08 1.147055e+02 0.000000e+00
 4.100000e+01 3.105202e+03 1.641627e-08 1.768713e+03 2.658541e-08 1.088081e+02 0.000000e+00
 4.350000e+01 3.099413e+03 6.551308e-09 1.763432e+03 8.964670e-09 1.030776e+02 0.000000e+00
 4.600000e+01 3.090734e+03 2.658945e-09 1.757454e+03 3.308107e-09 9.792657e+01 0.000000e+00
 4.850000e+01 3.079908e+03 1.093286e-09 1.750893e+03 1.270920e-09 9.308986e+01 0.000000e+00
 5.100000e+01 3.067713e+03 4.670488e-10 1.743856e+03 4.943450e-10 9.359016e+01 0.000000e+00
 5.350000e+01 3.054953e+03 2.020915e-10 1.736467e+03 1.882146e-10 8.367429e+01 0.000000e+00
