# PartEmit       0000000-1    0000000-2    0100000-1    0100000-2    0010000-1    0010000-2    0001000-1    0001000-2    0000100-1    0000100-2    0000010-1    0000010-2    0000001-1    0000001-2    0200000-1    0200000-2    0110000-1    0110000-2    0101000-1    0101000-2    0100100-1    0100100-2    0100010-1    0100010-2    0100001-1    0100001-2
# Excitation  1.355000e-01 0.000000e+00 1.046000e-016.950167e-3106.950167e-3104.665003e-310 6.745500e-01 0.000000e+00 2.319000e+006.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-310 2.319000e+006.950167e-310 3.808200e-016.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-310
# HalfLife    8.770000e+056.950167e-310 5.258000e+066.950167e-3101.138917e-313 0.000000e+00 1.397000e-026.950167e-310 8.092000e-016.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-310 8.092000e-016.950167e-310 4.813000e+046.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-3106.950167e-310
 3.500000e+00 9.115508e-01 0.000000e+00 5.497937e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.476694e-03 0.000000e+00 8.145014e-10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 8.510131e-01 0.000000e+00 4.575475e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.597185e-02 0.000000e+00 2.479870e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.035207e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 7.175142e-01 0.000000e+00 2.795385e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.941907e-02 0.000000e+00 3.395238e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.498631e-01 0.000000e+00 2.927933e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 5.889036e-01 0.000000e+00 2.215922e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.665067e-02 0.000000e+00 3.840871e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.869279e-01 7.498818e-02 3.811284e-01 0.000000e+00 4.754397e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 4.371207e-01 0.000000e+00 2.173177e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.091838e-01 0.000000e+00 4.230297e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.601348e-01 7.620600e-02 4.573261e-01 0.000000e+00 6.236886e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.600000e+01 2.915923e-01 0.000000e+00 2.136510e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.499978e-01 0.000000e+00 4.611437e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.286297e-01 6.592078e-02 5.024570e-01 0.000000e+00 6.801954e-01 0.000000e+00 1.512752e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.850000e+01 2.712074e-01 0.000000e+00 2.069252e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.554202e-01 0.000000e+00 4.920874e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.024927e-01 5.917188e-02 5.403735e-01 0.000000e+00 7.027045e-01 0.000000e+00 8.493159e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.100000e+01 2.681487e-01 0.000000e+00 2.019199e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.442482e-01 0.000000e+00 5.098240e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.703341e-01 5.193149e-02 5.672902e-01 0.000000e+00 7.207316e-01 0.000000e+00 1.465646e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.350000e+01 2.469874e-01 0.000000e+00 1.971239e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.417647e-01 0.000000e+00 5.179014e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.508408e-01 4.697172e-02 5.824535e-01 0.000000e+00 7.347749e-01 0.000000e+00 1.631207e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.600000e+01 2.327834e-01 0.000000e+00 1.931421e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.443805e-01 0.000000e+00 5.237477e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.648404e-01 4.942601e-02 5.738986e-01 0.000000e+00 7.512662e-01 0.000000e+00 1.675787e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
