# PartEmit       0000000-1    0000000-2    0100000-1    0100000-2    0010000-1    0010000-2    0001000-1    0001000-2    0000100-1    0000100-2    0000010-1    0000010-2    0000001-1    0000001-2    0200000-1    0200000-2    0110000-1    0110000-2    0101000-1    0101000-2    0100100-1    0100100-2    0100010-1    0100010-2    0100001-1    0100001-2
# Excitation  3.077000e-02 0.000000e+00 1.355000e-01 0.000000e+001.137356e-313 0.000000e+00 9.089700e-016.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-310 6.745500e-016.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-310
# HalfLife    5.087000e+086.907325e-310 8.770000e+056.907325e-3106.907325e-3106.907325e-310 1.566000e+016.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3101.137356e-313 0.000000e+006.907325e-3106.907325e-310 1.397000e-026.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-3106.907325e-310
 1.000000e+00 3.552009e-01 0.000000e+00 8.436440e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.552170e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 3.437724e-01 0.000000e+00 7.839545e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.744191e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 3.110379e-01 0.000000e+00 7.122923e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.199387e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.616467e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.069192e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.605194e-01 0.000000e+00 6.303128e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.942344e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.758180e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.554347e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 2.255355e-01 0.000000e+00 6.086260e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.530641e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.369556e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.797614e-02 0.000000e+00 2.116461e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 2.063203e-01 0.000000e+00 5.848220e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.863102e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.050321e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.805262e-01 0.000000e+00 2.466030e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.600000e+01 1.792784e-01 0.000000e+00 5.631172e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.916439e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.671494e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.302458e-01 0.000000e+00 2.789012e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.850000e+01 1.728599e-01 0.000000e+00 5.439570e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.964884e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.409460e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.456092e-01 0.000000e+00 4.320669e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.100000e+01 1.574007e-01 0.000000e+00 5.303762e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.013627e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.471278e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.585430e-01 0.000000e+00 5.002337e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.350000e+01 1.528610e-01 0.000000e+00 5.188539e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.075317e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.687911e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.806616e-01 0.000000e+00 5.337547e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.600000e+01 1.493574e-01 0.000000e+00 5.104628e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.119436e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.849057e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.010712e-01 0.000000e+00 5.577056e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 2.850000e+01 1.484417e-01 0.000000e+00 5.020842e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.155308e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.895047e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.935046e-01 0.000000e+00 5.747782e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.100000e+01 1.388639e-01 0.000000e+00 4.958270e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.187168e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.905646e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.704029e-01 0.000000e+00 5.834260e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.350000e+01 1.383713e-01 0.000000e+00 4.906773e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.207392e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.898123e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.488182e-01 0.000000e+00 5.844592e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.600000e+01 1.451646e-01 0.000000e+00 4.868127e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.228041e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.882960e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.376022e-01 0.000000e+00 5.840301e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.850000e+01 1.474270e-01 0.000000e+00 4.829989e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.240590e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.860188e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.347752e-01 0.000000e+00 5.837406e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 4.100000e+01 1.489855e-01 0.000000e+00 4.785026e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.257544e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.838213e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.358569e-01 0.000000e+00 5.837528e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 4.350000e+01 1.438577e-01 0.000000e+00 4.767088e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.263761e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.831561e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.374167e-01 0.000000e+00 5.867282e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 4.600000e+01 1.491630e-01 0.000000e+00 4.740378e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.279999e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.830664e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.378619e-01 0.000000e+00 5.875370e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 4.850000e+01 1.501859e-01 0.000000e+00 4.727498e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.285164e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.819956e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.397523e-01 0.000000e+00 5.877962e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 5.100000e+01 1.603746e-01 0.000000e+00 4.671523e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.284820e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.802329e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.428292e-01 0.000000e+00 5.849822e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 5.350000e+01 1.520193e-01 0.000000e+00 4.671424e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.280305e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.775450e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.449653e-01 0.000000e+00 5.875659e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
