# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 3.500000e+00 5.472726e+00 5.494233e-06 5.472726e+00 7.210957e-04 5.388090e+00 0.000000e+00
 6.000000e+00 3.698730e+02 3.090111e-03 3.698730e+02 4.162171e-02 2.726323e+02 0.000000e+00
 8.500000e+00 9.973803e+02 1.344952e-03 9.973803e+02 5.673758e-02 2.303953e+02 0.000000e+00
 1.100000e+01 1.390937e+03 2.281283e-04 1.390937e+03 3.317652e-02 1.969772e+02 0.000000e+00
 1.350000e+01 1.628662e+03 3.592727e-05 1.628662e+03 6.123474e-03 2.004067e+02 0.000000e+00
 1.600000e+01 1.780032e+03 5.946072e-06 1.780032e+03 7.170582e-04 2.042703e+02 0.000000e+00
 1.850000e+01 1.881430e+03 1.049103e-06 1.881430e+03 1.485803e-04 2.031094e+02 0.000000e+00
 2.100000e+01 1.951851e+03 1.992936e-07 1.951851e+03 5.933980e-05 1.963145e+02 0.000000e+00
 2.350000e+01 2.001662e+03 4.002479e-08 2.001662e+03 2.719535e-05 1.949263e+02 0.000000e+00
 2.600000e+01 2.037403e+03 8.662127e-09 2.037403e+03 1.189299e-05 1.833542e+02 0.000000e+00
 2.850000e+01 2.063009e+03 1.941937e-09 2.063009e+03 3.986813e-06 1.743521e+02 0.000000e+00
 3.100000e+01 2.081426e+03 4.616459e-10 2.081426e+03 9.509559e-07 1.657449e+02 0.000000e+00
 3.350000e+01 2.094405e+03 1.140882e-10 2.094405e+03 1.962198e-07 1.616376e+02 0.000000e+00
 3.600000e+01 2.103179e+03 2.974418e-11 2.103179e+03 4.792296e-08 1.519818e+02 0.000000e+00
 3.850000e+01 2.108822e+03 8.095071e-12 2.108822e+03 1.581550e-08 1.435134e+02 0.000000e+00
 4.100000e+01 2.111939e+03 2.243730e-12 2.111939e+03 5.983935e-09 1.361350e+02 0.000000e+00
 4.350000e+01 2.112968e+03 6.456047e-13 2.112968e+03 2.221583e-09 1.327332e+02 0.000000e+00
 4.600000e+01 2.112412e+03 1.934158e-13 2.112412e+03 7.287866e-10 1.257593e+02 0.000000e+00
 4.850000e+01 2.110595e+03 6.062523e-14 2.110595e+03 2.203751e-10 1.183019e+02 0.000000e+00
 5.100000e+01 2.107703e+03 1.877202e-14 2.107703e+03 6.243578e-11 1.121481e+02 0.000000e+00
 5.350000e+01 2.103883e+03 6.308307e-15 2.103883e+03 1.948379e-11 1.073880e+02 0.000000e+00
