# Reaction    (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)       (x,Ad)       (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)                   
 1.000000e+00 1.331266e-09 2.552168e-15 1.710474e-14 2.148950e-28 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 6.098228e+00 1.568513e-02 1.426059e-02 2.970274e-07 0.000000e+00 0.000000e+00 3.941750e-01 2.342492e-09 7.001288e-09 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 9.958882e+01 4.835534e+00 4.269034e-01 2.243907e-04 0.000000e+00 0.000000e+00 3.018183e+02 1.410710e-02 1.409443e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.869885e-26 0.000000e+00 5.122690e-22 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 1.554349e+02 3.955749e+01 1.949961e+00 3.685791e-02 0.000000e+00 0.000000e+00 8.511143e+02 2.094580e+00 4.776676e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.223655e-15 0.000000e+00 2.326384e-15 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 1.838898e+02 8.702318e+01 3.391096e+00 1.119739e+00 0.000000e+00 0.000000e+00 1.104138e+03 1.819552e+01 8.180709e-01 2.497537e-04 0.000000e+00 0.000000e+00 3.955235e-21 2.476931e-10 0.000000e+00 2.061982e-11 4.159102e-18 4.788630e+01 1.589359e-16 1.460101e-08 4.649597e-31 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.978561e+02 1.290246e+02 3.835319e+00 3.864583e+00 0.000000e+00 0.000000e+00 7.050328e+02 5.529232e+01 2.839848e+00 2.232465e-01 0.000000e+00 0.000000e+00 4.636308e-12 1.374164e-07 3.403718e-28 9.934040e-09 4.443625e-12 5.866387e+02 1.787965e-03 1.103527e-04 1.633787e-16 0.000000e+00 0.000000e+00 0.000000e+00
 1.600000e+01 1.996372e+02 1.554893e+02 3.683290e+00 5.925841e+00 0.000000e+00 0.000000e+00 3.766586e+02 1.083093e+02 5.376618e+00 2.245519e+00 0.000000e+00 0.000000e+00 1.645239e-08 8.754430e-06 9.083591e-14 9.047326e-07 5.237107e-09 9.784411e+02 6.292577e-01 2.857572e-02 2.647187e-11 2.093590e-24 0.000000e+00 0.000000e+00
 1.850000e+01 1.988130e+02 1.744298e+02 3.373979e+00 6.583913e+00 0.000000e+00 0.000000e+00 2.649559e+02 1.622808e+02 7.327352e+00 6.101959e+00 0.000000e+00 0.000000e+00 2.071869e-06 1.042549e-04 3.087886e-09 1.939301e-05 4.844749e-07 1.104582e+03 8.923585e+00 8.759657e-01 2.381715e-08 8.612975e-12 0.000000e+00 0.000000e+00
 2.100000e+01 1.932300e+02 1.844729e+02 2.977414e+00 6.230463e+00 0.000000e+00 0.000000e+00 2.311849e+02 2.053384e+02 7.386829e+00 1.070758e+01 0.000000e+00 0.000000e+00 4.436584e-05 4.643194e-04 4.589442e-07 1.402195e-04 1.035890e-05 1.085034e+03 3.353802e+01 3.837139e+00 3.605836e-06 1.381959e-07 4.454493e+01 0.000000e+00
 2.350000e+01 1.819970e+02 1.861772e+02 2.579194e+00 5.784542e+00 0.000000e+00 0.000000e+00 2.188722e+02 2.324271e+02 6.729731e+00 1.400237e+01 0.000000e+00 0.000000e+00 3.547862e-04 1.235139e-03 6.883287e-06 4.647133e-04 7.439645e-05 8.192446e+02 7.141189e+01 7.440632e+00 1.181385e-04 2.202362e-05 3.099413e+02 0.000000e+00
