,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
13,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/BC130217_Ni03_18cm_30MeV.Spe,56CO,846.77,527.3485032032524,34.5943038981492,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,374753.826160533,38923.0625250256,521.2153354110334,54.134996557754654,1.5527022560353567,02/13/2017 21:11:00,691.0,719.0
20,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/BC130217_Ni03_18cm_30MeV.Spe,56CO,1238.288,226.21471841944197,20.164772001603847,0.6646,0.0012,0.0010845569540316,6.069496431208125e-05,326557.00264490466,40658.14316625946,454.1822011751108,56.5481824287336,1.4555197732050085,02/13/2017 21:11:00,691.0,719.0
33,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/BC130217_Ni03_18cm_30MeV.Spe,56CO,1771.357,39.24551497089533,6.103379860861842,0.1541,0.0006,0.00081052929915,0.0004421330618937,326941.0989165898,192656.1231090797,454.7164101760637,267.950101681613,1.1912237838450093,02/13/2017 21:11:00,691.0,719.0
36,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/BC130217_Ni03_18cm_30MeV.Spe,56CO,2034.791,6.804275116143146,2.8226716448853075,0.0776999999999999,0.0003,0.0007235517553906,0.0009003656684769,125933.73607765832,172097.88897166777,175.15123237504633,239.35728646963528,1.3525812794830536,02/13/2017 21:11:00,691.0,719.0
38,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/BC130217_Ni03_18cm_30MeV.Spe,56CO,2598.5,17.15772179858619,4.153840158659701,0.1697,0.0004,0.0005930215209887,0.0022926664615792,177401.85963556144,688525.9775347994,246.73415804667795,957.6161022737126,1.4458410993182584,02/13/2017 21:11:00,691.0,719.0
3,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,846.77,5358.771712999405,85.38129792633393,0.999399,0.04996995,0.0014613009549438,1.9028310826127665e-05,3670790.361674098,204711.30845505363,365.2891194819482,20.37131141954957,1.4187530319133956,03/20/2017 15:39:25,10045.0,10049.0
6,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,1037.843,716.69458223586,33.56863363729214,0.1405,0.0004,0.0012361370899553,1.8777462016037343e-05,4128231.704581344,255415.78368660892,410.81020047580296,25.41703489766235,1.4264616438656543,03/20/2017 15:39:25,10045.0,10049.0
7,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,1238.288,2639.7164106661758,62.656124368752494,0.6646,0.0012,0.0010660689095144,1.986435959452555e-05,3727216.007616857,134007.915440573,370.904170327083,13.335447849594289,1.5994488465743624,03/20/2017 15:39:25,10045.0,10049.0
8,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,1360.212,173.39145080467475,19.58062251307258,0.04283,0.00012,0.000984112112321,2.864267833294749e-05,4115360.967134527,572831.3583280361,409.52940264051415,57.00381712887214,0.9204274106830682,03/20/2017 15:39:25,10045.0,10049.0
11,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,1771.357,460.76072351242846,27.57620345405725,0.1541,0.0006,0.0007834053750083,0.0002604831831853,3818204.375874782,1302250.8265631374,379.958640250252,129.59009120938774,1.1920389239403384,03/20/2017 15:39:25,10045.0,10049.0
12,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,2015.215,63.25288017054436,10.4599483613624,0.03016,0.00012,0.0007005376898163,0.0006225093431339,2994955.457032371,2733150.712340014,298.03517335380343,271.9823576813627,1.6252170328113906,03/20/2017 15:39:25,10045.0,10049.0
13,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,2034.791,164.46541435572266,15.828232176272774,0.0776999999999999,0.0003,0.0006946931069614,0.000660595699609,3048129.964252125,2923029.770060626,303.3266956166908,290.877676391743,1.6252170328113906,03/20/2017 15:39:25,10045.0,10049.0
14,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,2598.5,273.9465453279568,20.56279312207801,0.1697,0.0004,0.000563037449599,0.0023591403683458,2868267.213254439,12021287.500275088,285.42812352019496,1196.267041524041,1.7799372757490184,03/20/2017 15:39:25,10045.0,10049.0
15,/Users/elisemma/Library/CloudStorage/OneDrive-Personal/Dokumenter/Master/PlanBCode/2017_Feb_Zr/30MeV/DC200317_Ni03_18cm_30MeV.Spe,56CO,3202.029,7.523675332912051,3.0173696322986934,0.03209,0.00012,0.0004721471843083,0.0051042211275109,496770.5369228794,5377161.125421696,49.434823059297386,535.0941512012834,1.570458785106999,03/20/2017 15:39:25,10045.0,10049.0
