#ZVView-data-copy:  27-Oct-2024 11:02:21
#=======================================
#
#name:   22-TI-0(D,X)21-SC-46-G,M+,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  65
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          2.95         0.52      0.00032         4e-5  # 1997,S.Takacs+           ## D4046004  #dY:12.5%  
          3.97         0.47       0.0021       0.0004  # 1997,S.Takacs+           ## D4046004  #dY:19.0%  
          4.84         0.43       0.0054       0.0008  # 1997,S.Takacs+           ## D4046004  #dY:14.8%  
          5.61         0.39       0.0096       0.0013  # 1997,S.Takacs+           ## D4046004  #dY:13.5%  
          5.88         0.99       0.0127       0.0021  # 1997,S.Takacs+           ## D4046004  #dY:16.5%  
          6.31         0.35       0.0136       0.0017  # 1997,S.Takacs+           ## D4046004  #dY:12.5%  
          6.44         0.83       0.0165       0.0019  # 1997,S.Takacs+           ## D4046004  #dY:11.5%  
          6.96         0.69       0.0209       0.0029  # 1997,S.Takacs+           ## D4046004  #dY:13.9%  
          6.97         0.32       0.0173        0.002  # 1997,S.Takacs+           ## D4046004  #dY:11.6%  
          7.03         1.38       0.0144       0.0016  # 1997,S.Takacs+           ## D4046004  #dY:11.1%  
          7.46         0.57       0.0229        0.002  # 1997,S.Takacs+           ## D4046004  #dY:8.7%   
          7.58         0.29       0.0212       0.0025  # 1997,S.Takacs+           ## D4046004  #dY:11.8%  
          8.16         0.27       0.0254        0.003  # 1997,S.Takacs+           ## D4046004  #dY:11.8%  
           8.4         1.25       0.0237       0.0026  # 1997,S.Takacs+           ## D4046004  #dY:11.0%  
          8.72         0.24       0.0292       0.0034  # 1997,S.Takacs+           ## D4046004  #dY:11.6%  
          8.98         0.43       0.0346       0.0017  # 1997,S.Takacs+           ## D4046004  #dY:4.9%   
          9.24         0.22       0.0329       0.0039  # 1997,S.Takacs+           ## D4046004  #dY:11.9%  
           9.4         0.34       0.0378       0.0031  # 1997,S.Takacs+           ## D4046004  #dY:8.2%   
          9.62         1.14       0.0302       0.0033  # 1997,S.Takacs+           ## D4046004  #dY:10.9%  
          9.75          0.2       0.0354       0.0044  # 1997,S.Takacs+           ## D4046004  #dY:12.4%  
