#ZVView-data-copy:  27-Oct-2024 11:06:10
#=======================================
#
#name:   22-TI-0(D,X)21-SC-46,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  45
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           6.2         0.77      0.00948      0.00123  # 2015,C.Duchemin+         ## O2265003  #dY:13.0%  
          7.86         1.16      0.02108      0.00236  # 2015,C.Duchemin+         ## O2265003  #dY:11.2%  
          8.45         0.65      0.02785      0.00208  # 2015,C.Duchemin+         ## O2265003  #dY:7.5%   
           8.8         0.62      0.03045      0.00318  # 2015,C.Duchemin+         ## O2265003  #dY:10.4%  
          8.96         0.57      0.02394      0.00251  # 2015,C.Duchemin+         ## O2265003  #dY:10.5%  
         10.04          0.6      0.04007      0.00298  # 2015,C.Duchemin+         ## O2265003  #dY:7.4%   
          10.6         0.64      0.03575      0.00413  # 2015,C.Duchemin+         ## O2265003  #dY:11.6%  
         11.11         0.95      0.03202      0.00359  # 2015,C.Duchemin+         ## O2265003  #dY:11.2%  
          11.5         0.51      0.04088      0.00456  # 2015,C.Duchemin+         ## O2265003  #dY:11.2%  
         12.07         0.48      0.03931      0.00437  # 2015,C.Duchemin+         ## O2265003  #dY:11.1%  
            13         0.44      0.04151      0.00454  # 2015,C.Duchemin+         ## O2265003  #dY:10.9%  
          13.6         0.48       0.0439      0.00528  # 2015,C.Duchemin+         ## O2265003  #dY:12.0%  
         13.75         0.83      0.03324      0.00368  # 2015,C.Duchemin+         ## O2265003  #dY:11.1%  
         14.36          0.4      0.03726      0.00426  # 2015,C.Duchemin+         ## O2265003  #dY:11.4%  
         14.82         0.35      0.03325      0.00382  # 2015,C.Duchemin+         ## O2265003  #dY:11.5%  
         15.95         0.29      0.03441      0.00431  # 2015,C.Duchemin+         ## O2265003  #dY:12.5%  
         16.03         0.73      0.02673       0.0047  # 2015,C.Duchemin+         ## O2265003  #dY:17.6%  
         16.16          0.4      0.03577      0.00527  # 2015,C.Duchemin+         ## O2265003  #dY:14.7%  
          16.3         0.44      0.03445      0.00395  # 2015,C.Duchemin+         ## O2265003  #dY:11.5%  
         18.17         0.65      0.02546      0.00327  # 2015,C.Duchemin+         ## O2265003  #dY:12.8%  
         18.45         0.34      0.02879      0.00397  # 2015,C.Duchemin+         ## O2265003  #dY:13.8%  
         19.09         0.39      0.02653       0.0034  # 2015,C.Duchemin+         ## O2265003  #dY:12.8%  
         19.61          0.6      0.02474      0.00319  # 2015,C.Duchemin+         ## O2265003  #dY:12.9%  
         20.68         0.66      0.02769      0.00326  # 2015,C.Duchemin+         ## O2265003  #dY:11.8%  
         20.69         0.67      0.02411      0.00264  # 2015,C.Duchemin+         ## O2265003  #dY:10.9%  
         21.01         0.32      0.02373      0.00292  # 2015,C.Duchemin+         ## O2265003  #dY:12.3%  
         21.82         0.64      0.02407      0.00367  # 2015,C.Duchemin+         ## O2265003  #dY:15.2%  
         22.88         0.62       0.0243      0.00276  # 2015,C.Duchemin+         ## O2265003  #dY:11.4%  
         24.17         0.48      0.02613      0.00314  # 2015,C.Duchemin+         ## O2265003  #dY:12.0%  
         24.24         0.54      0.02742       0.0036  # 2015,C.Duchemin+         ## O2265003  #dY:13.1%  
         26.09         0.52      0.02503      0.00334  # 2015,C.Duchemin+         ## O2265003  #dY:13.3%  
         26.14         0.41      0.02656      0.00306  # 2015,C.Duchemin+         ## O2265003  #dY:11.5%  
         26.32         0.52      0.02621      0.00523  # 2015,C.Duchemin+         ## O2265003  #dY:20.0%  
         27.71         0.51      0.02493      0.00339  # 2015,C.Duchemin+         ## O2265003  #dY:13.6%  
         28.69         0.44      0.02636      0.00317  # 2015,C.Duchemin+         ## O2265003  #dY:12.0%  
         29.88          0.3      0.02545      0.00301  # 2015,C.Duchemin+         ## O2265003  #dY:11.8%  
         29.91         0.42      0.02442      0.00347  # 2015,C.Duchemin+         ## O2265003  #dY:14.2%  
         30.14         0.28       0.0232      0.00335  # 2015,C.Duchemin+         ## O2265003  #dY:14.4%  
         31.34         0.38      0.02569        0.003  # 2015,C.Duchemin+         ## O2265003  #dY:11.7%  
         31.96         0.35        0.025       0.0029  # 2015,C.Duchemin+         ## O2265003  #dY:11.6%  
         32.39         0.35      0.02594      0.00302  # 2015,C.Duchemin+         ## O2265003  #dY:11.6%  
         32.64         0.32      0.02939      0.00401  # 2015,C.Duchemin+         ## O2265003  #dY:13.6%  
         33.19          0.3      0.02661      0.00307  # 2015,C.Duchemin+         ## O2265003  #dY:11.5%  
         33.34          0.3       0.0269      0.00332  # 2015,C.Duchemin+         ## O2265003  #dY:12.3%  
         33.44         0.28      0.02797      0.00325  # 2015,C.Duchemin+         ## O2265003  #dY:11.6%  
//
#-------------------------------------------------------------------------------
