#ZVView-data-copy:  27-Oct-2024 12:09:11
#=======================================
#
#name:   22-TI-0(D,X)21-SC-48,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  65
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          2.95         0.52         1e-5         1e-6  # 1997,S.Takacs+           ## D4046003  #dY:10.0%  
          3.97         0.47         4e-5         2e-5  # 1997,S.Takacs+           ## D4046003  #dY:50.0%  
          4.84         0.43      0.00014         2e-5  # 1997,S.Takacs+           ## D4046003  #dY:14.3%  
          5.61         0.39      0.00024         3e-5  # 1997,S.Takacs+           ## D4046003  #dY:12.5%  
          5.88         0.99      0.00031         9e-5  # 1997,S.Takacs+           ## D4046003  #dY:29.0%  
          6.31         0.35      0.00036         5e-5  # 1997,S.Takacs+           ## D4046003  #dY:13.9%  
          6.44         0.83      0.00046      0.00013  # 1997,S.Takacs+           ## D4046003  #dY:28.3%  
          6.96         0.69      0.00069      0.00019  # 1997,S.Takacs+           ## D4046003  #dY:27.5%  
          6.97         0.32      0.00056         7e-5  # 1997,S.Takacs+           ## D4046003  #dY:12.5%  
          7.03         1.38      0.00043         5e-5  # 1997,S.Takacs+           ## D4046003  #dY:11.6%  
          7.46         0.57       0.0011       0.0002  # 1997,S.Takacs+           ## D4046003  #dY:18.2%  
          7.58         0.29       0.0007       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:14.3%  
          8.16         0.27       0.0008       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:12.5%  
           8.4         1.25       0.0007       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:14.3%  
          8.72         0.24       0.0009       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:11.1%  
          8.98         0.43       0.0012       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:8.3%   
          9.24         0.22        0.001       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:10.0%  
           9.4         0.34       0.0012       0.0002  # 1997,S.Takacs+           ## D4046003  #dY:16.7%  
          9.62         1.14       0.0011       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:9.1%   
          9.75          0.2       0.0012       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:8.3%   
          9.81          0.2       0.0013       0.0002  # 1997,S.Takacs+           ## D4046003  #dY:15.4%  
          10.2         0.19       0.0013       0.0002  # 1997,S.Takacs+           ## D4046003  #dY:15.4%  
         10.59         0.12       0.0014       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:7.1%   
         10.74         1.04       0.0012       0.0001  # 1997,S.Takacs+           ## D4046003  #dY:8.3%   
